ID,Name,Sex,Team,NOC,Sport,Age,Height,Weight,Games,Year,Season,City,Event,Medal
4,Edgar Lindenau Aabye,M,Denmark/Sweden,DEN,Tug-Of-War,1,0,0,1,1,1,1,1,1
15,Arvo Ossian Aaltonen,M,Finland,FIN,Swimming,2,0,0,2,2,2,2,2,2
16,Juhamatti Tapio Aaltonen,M,Finland,FIN,Ice Hockey,1,1,1,1,1,1,1,1,1
17,Paavo Johannes Aaltonen,M,Finland,FIN,Gymnastics,5,5,5,5,5,5,5,5,5
20,Kjetil Andr Aamodt,M,Norway,NOR,Alpine Skiing,8,8,8,8,8,8,8,8,8
21,Ragnhild Margrethe Aamodt,F,Norway,NOR,Handball,1,1,0,1,1,1,1,1,1
25,Alf Lied Aanning,M,Norway,NOR,Gymnastics,1,0,0,1,1,1,1,1,1
29,Willemien Aardenburg,F,Netherlands,NED,Hockey,1,0,0,1,1,1,1,1,1
30,Pepijn Aardewijn,M,Netherlands,NED,Rowing,1,1,1,1,1,1,1,1,1
37,Ann Kristin Aarnes,F,Norway,NOR,Football,1,1,1,1,1,1,1,1,1
38,Karl Jan Aas,M,Norway,NOR,Gymnastics,1,0,0,1,1,1,1,1,1
40,Roald Edgar Aas,M,Norway,NOR,Speed Skating,2,0,0,2,2,2,2,2,2
42,Thomas Valentin Aas,M,Taifun,NOR,Sailing,1,0,0,1,1,1,1,1,1
56,Ren Abadie,M,France,FRA,Cycling,1,0,0,1,1,1,1,1,1
62,Giovanni Abagnale,M,Italy,ITA,Rowing,1,1,1,1,1,1,1,1,1
63,Jos Luis Abajo Gmez,M,Spain,ESP,Fencing,1,1,1,1,1,1,1,1,1
65,Patimat Abakarova,F,Azerbaijan,AZE,Taekwondo,1,1,1,1,1,1,1,1,1
67,Mariya Vasilyevna Abakumova (-Tarabina),F,Russia,RUS,Athletics,1,1,1,1,1,1,1,1,1
72,Aleksey Aleksandrovich Abalmasov,M,Belarus,BLR,Canoeing,1,1,1,1,1,1,1,1,1
73,Luc Abalo,M,France,FRA,Handball,3,3,3,3,3,3,3,3,3
76,Jouan Patrice Abanda Etong,M,Cameroon,CMR,Football,1,1,1,1,1,1,1,1,1
80,Jos Mara Abarca Plotas,M,Spain,ESP,Water Polo,1,1,1,1,1,1,1,1,1
84,Stephen Anthony Abas,M,United States,USA,Wrestling,1,1,1,1,1,1,1,1,1
85,Alejandro Abascal Garca,M,Spain,ESP,Sailing,1,1,1,1,1,1,1,1,1
86,Jos Manuel Abascal Gmez,M,Spain,ESP,Athletics,1,1,1,1,1,1,1,1,1
90,Tamila Rashidovna Abasova,F,Russia,RUS,Cycling,1,1,1,1,1,1,1,1,1
93,Jol Marc Abati,M,France,FRA,Handball,1,1,1,1,1,1,1,1,1
99,Pter Abay,M,Hungary,HUN,Fencing,1,1,1,1,1,1,1,1,1
100,Oszkr Abay-Nemes,M,Hungary,HUN,Swimming,1,0,0,1,1,1,1,1,1
103,Silvano Abba,M,Italy,ITA,Modern Pentathlon,1,0,0,1,1,1,1,1,1
106,Agostino Abbagnale,M,Italy,ITA,Rowing,3,3,3,3,3,3,3,3,3
107,Carmine Abbagnale,M,Italy,ITA,Rowing,3,3,3,3,3,3,3,3,3
108,Giuseppe Abbagnale,M,Italy,ITA,Rowing,3,3,3,3,3,3,3,3,3
139,"George ""Ioannis"" Abbot",M,Thessalonki-1,GRE,Football,0,0,0,1,1,1,1,1,1
143,"Desmond ""Des"" Abbott",M,Australia,AUS,Hockey,1,1,1,1,1,1,1,1,1
145,Jeremy Abbott,M,United States,USA,Figure Skating,1,1,1,1,1,1,1,1,1
150,Margaret Ives Abbott (-Dunne),F,United States,USA,Golf,1,0,0,1,1,1,1,1,1
153,Monica Cecilia Abbott,F,United States,USA,Softball,1,1,1,1,1,1,1,1,1
165,Nia Nicole Abdallah,F,United States,USA,Taekwondo,1,1,1,1,1,1,1,1,1
250,Saeid Morad Abdevali,M,Iran,IRI,Wrestling,1,1,1,1,1,1,1,1,1
259,Reema Abdo,F,Canada,CAN,Swimming,1,1,1,1,1,1,1,1,1
297,Lala Abdul Rashid,M,Pakistan,PAK,Hockey,1,1,1,1,1,1,1,1,1
298,Muhammad Abdul Rashid,M,Pakistan,PAK,Hockey,1,1,1,1,1,1,1,1,1
316,Zagalav Abdulbekovich Abdulbekov,M,Soviet Union,URS,Wrestling,1,1,1,1,1,1,1,1,1
337,Mukhammad Kadyr Abdullayev,M,Uzbekistan,UZB,Boxing,1,1,1,1,1,1,1,1,1
339,Namiq Yadulla Abdullayev,M,Azerbaijan,AZE,Wrestling,2,2,2,2,2,2,2,2,2
351,Julius Shareef Abdur-Rahim,M,United States,USA,Basketball,1,1,1,1,1,1,1,1,1
357,Yusup Abdusalomov,M,Tajikistan,TJK,Wrestling,1,1,1,1,1,1,1,1,1
359,Andrey Khakimovich Abduvaliyev,M,Unified Team,EUN,Athletics,1,1,1,1,1,1,1,1,1
367,Masashi Abe,M,Japan,JPN,Nordic Combined,1,1,1,1,1,1,1,1,1
379,Addis Abebe,M,Ethiopia,ETH,Athletics,1,1,1,1,1,1,1,1,1
385,"Max ""Xam"" Abegglen",M,Switzerland,SUI,Football,1,0,0,1,1,1,1,1,1
391,Clarence John Abel,M,United States,USA,Ice Hockey,1,1,1,1,1,1,1,1,1
392,George Gordon Abel,M,Canada,CAN,Ice Hockey,1,0,0,1,1,1,1,1,1
394,Irene Abel,F,East Germany,GDR,Gymnastics,1,1,1,1,1,1,1,1,1
395,Jennifer Abel,F,Canada,CAN,Diving,1,1,1,1,1,1,1,1,1
399,Egil Sten Abel,M,Fornebo,NOR,Sailing,1,0,0,1,1,1,1,1,1
401,Abelardo Fernndez Antua,M,Spain,ESP,Football,1,0,0,1,1,1,1,1,1
404,"Louis Grenville ""Lou"" Abell",M,Vesper Boat Club,USA,Rowing,2,0,0,2,2,2,2,2,2
411,Gezahgne Abera,M,Ethiopia,ETH,Athletics,1,1,1,1,1,1,1,1,1
416,Nils Georg berg,M,Sweden,SWE,Athletics,2,2,2,2,2,2,2,2,2
423,Michael Brent Abernathy,M,United States,USA,Baseball,1,1,1,1,1,1,1,1,1
424,Moira Abernethy (-Ford),F,South Africa,RSA,Swimming,1,0,0,1,1,1,1,1,1
428,Elvan Abeylegesse,F,Turkey,TUR,Athletics,1,1,1,1,1,1,1,1,1
443,Ismail Abilov (-Nizamolu),M,Bulgaria,BUL,Wrestling,1,1,1,1,1,1,1,1,1
454,"Edgar Allen ""Ed"" Ablowich",M,United States,USA,Athletics,1,1,1,1,1,1,1,1,1
455,Denis Mikhaylovich Ablyazin,M,Russia,RUS,Gymnastics,5,5,5,5,5,5,5,5,5
460,Viktor Andreyevich Aboimov,M,Soviet Union,URS,Swimming,2,2,2,2,2,2,2,2,2
465,"Matthew ""Matt"" Abood",M,Australia,AUS,Swimming,1,1,1,1,1,1,1,1,1
495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,Egypt,EGY,Fencing,1,1,1,1,1,1,1,1,1
507,Attila brahm,M,Hungary,HUN,Canoeing,3,3,3,3,3,3,3,3,3
509,Gary Abraham,M,Great Britain,GBR,Swimming,1,1,1,1,1,1,1,1,1
514,Ara Abrahamian,M,Sweden,SWE,Wrestling,1,1,1,1,1,1,1,1,1
519,Harold Maurice Abrahams,M,Great Britain,GBR,Athletics,2,2,2,2,2,2,2,2,2
521,Isak Abrahamsen,M,Norway,NOR,Gymnastics,1,0,0,1,1,1,1,1,1
527,Erik Adolf Efraim Abrahamsson,M,Sweden,SWE,Athletics,1,1,1,1,1,1,1,1,1
529,Karl Gustaf Emanuel Abrahamsson,M,Sweden,SWE,Ice Hockey,1,0,0,1,1,1,1,1,1
543,Pavel Sergeyevich Abramov,M,Russia,RUS,Volleyball,1,1,1,1,1,1,1,1,1
547,Nelli Mikhaylovna Abramova,F,Soviet Union,URS,Volleyball,1,1,1,1,1,1,1,1,1
548,Yekaterina Konstantinovna Abramova,F,Russia,RUS,Speed Skating,1,1,1,1,1,1,1,1,1
576,"Alejandro ""lex"" Abrines Redondo",M,Spain,ESP,Basketball,1,1,1,1,1,1,1,1,1
580,Svetlana Olegovna Abrosimova,F,Russia,RUS,Basketball,1,1,1,1,1,1,1,1,1
582,Saypulla Atavovich Absaidov,M,Soviet Union,URS,Wrestling,1,1,1,1,1,1,1,1,1
583,Julien Absalon,M,France,FRA,Cycling,2,2,2,2,2,2,2,2,2
608,Ahmad Abughaush,M,Jordan,JOR,Taekwondo,1,1,1,1,1,1,1,1,1
610,Ginko Abukawa-Chiba,F,Japan,JPN,Gymnastics,1,1,1,1,1,1,1,1,1
618,Aleksandr Veniaminovich Abushakhmetov,M,Soviet Union,URS,Fencing,1,1,1,1,1,1,1,1,1
619,Magomedgasan Mingazhutdinovich Abushev,M,Soviet Union,URS,Wrestling,1,1,1,1,1,1,1,1,1
627,Andreea Roxana Acatrinei,F,Romania,ROU,Gymnastics,1,1,1,1,1,1,1,1,1
629,William Accambray,M,France,FRA,Handball,1,1,1,1,1,1,1,1,1
634,Paul Accola,M,Switzerland,SUI,Alpine Skiing,1,1,1,1,1,1,1,1,1
639,Domingo Gmez-Acedo Villanueva,M,Spain,ESP,Football,1,0,0,1,1,1,1,1,1
646,Anibl Santiago Acevedo,M,Puerto Rico,PUR,Boxing,1,1,1,1,1,1,1,1,1
654,Daniel Aceves Villagrn,M,Mexico,MEX,Wrestling,1,1,1,1,1,1,1,1,1
669,Joachim Yaw Acheampong,M,Ghana,GHA,Football,1,1,1,1,1,1,1,1,1
670,Alfred Achermann,M,Switzerland,SUI,Cycling,1,1,1,1,1,1,1,1,1
673,Abdel Hak Achik,M,Morocco,MAR,Boxing,1,1,1,1,1,1,1,1,1
674,Mohamed Abdelhak Achik,M,Morocco,MAR,Boxing,1,1,1,1,1,1,1,1,1
680,Rita Nikolayevna Achkina,F,Soviet Union,URS,Cross Country Skiing,1,1,1,1,1,1,1,1,1
690,Chantal Achterberg,F,Netherlands,NED,Rowing,2,2,2,2,2,2,2,2,2
697,Fausto Alesio Acke (Padovini-),M,Sweden,SWE,Gymnastics,1,0,0,1,1,1,1,1,1
698,Paul Douglas Ackerley,M,New Zealand,NZL,Hockey,1,1,1,1,1,1,1,1,1
699,"Charles Edwin ""Charley"" Ackerly",M,United States,USA,Wrestling,1,0,0,1,1,1,1,1,1
702,Ronny Ackermann,M,Germany,GER,Nordic Combined,3,3,3,3,3,3,3,3,3
705,Donat Acklin,M,Switzerland-1,SUI,Bobsleigh,4,4,4,4,4,4,4,4,4
706,Guido Acklin,M,Switzerland-2,SUI,Bobsleigh,1,1,1,1,1,1,1,1,1
716,Lautaro Germn Acosta,M,Argentina,ARG,Football,1,1,1,1,1,1,1,1,1
723,Osmay Acosta Duarte,M,Cuba,CUB,Boxing,1,1,1,1,1,1,1,1,1
727,Martn Ral Acosta y Lara Daz,M,Uruguay,URU,Basketball,1,0,0,1,1,1,1,1,1
745,Kazimierz Piotr Adach,M,Poland,POL,Boxing,1,1,1,1,1,1,1,1,1
762,"Gordon Belgum ""Gordy"" Adam",M,United States,USA,Rowing,1,0,0,1,1,1,1,1,1
766,Ji Adam,M,Czechoslovakia,TCH,Modern Pentathlon,1,1,1,1,1,1,1,1,1
772,"Michael B. ""Mike"" Adam",M,Canada,CAN,Curling,1,1,1,1,1,1,1,1,1
775,Otto Adam,M,Germany,GER,Fencing,1,0,0,1,1,1,1,1,1
777,Pierre Louis Eugne Adam,M,France,FRA,Cycling,1,0,0,1,1,1,1,1,1
785,Dariusz Adamczuk,M,Poland,POL,Football,1,1,1,1,1,1,1,1,1
807,"Benjamin Willard ""Ben"" Adams",M,United States,USA,Athletics,2,2,2,2,2,2,2,2,2
813,Edgar Holmes Adams,M,United States,USA,Swimming,1,0,0,1,1,1,1,1,1
818,Harry Lester Adams,M,United States,USA,Shooting,1,0,0,1,1,1,1,1,1
830,Adrian Neil Adams,M,Great Britain,GBR,Judo,2,2,2,2,2,2,2,2,2
832,Nicola Virginia Adams,F,Great Britain,GBR,Boxing,2,2,2,2,2,2,2,2,2
836,Platt Adams,M,United States,USA,Athletics,2,2,2,2,2,2,2,2,2
837,Rachael Alexis Adams,F,United States,USA,Volleyball,1,1,1,1,1,1,1,1,1
840,"Victoria ""Vicki"" Adams",F,Great Britain,GBR,Curling,1,1,1,1,1,1,1,1,1
846,Valerie Kasanita Adams-Vili (-Price),F,New Zealand,NZL,Athletics,3,3,3,3,3,3,3,3,3
849,Filip Kamil Adamski,M,Germany,GER,Rowing,1,1,1,1,1,1,1,1,1
850,Herbert Adamski,M,Germany,GER,Rowing,1,0,0,1,1,1,1,1,1
851,Jerzy Adamski,M,Poland,POL,Boxing,1,1,1,1,1,1,1,1,1
882,Simon Addo,M,Ghana,GHA,Football,1,1,1,1,1,1,1,1,1
884,Eugene Addor,M,Switzerland,SUI,Shooting,0,0,0,1,1,1,1,1,1
896,Olubayo Adefemi,M,Nigeria,NGR,Football,1,1,1,1,1,1,1,1,1
908,"Ayodele ""Dele"" Adeleye",M,Nigeria,NGR,Football,1,1,1,1,1,1,1,1,1
918,Ademir Roque Kaefer,M,Brazil,BRA,Football,2,2,2,2,2,2,2,2,2
923,Olapade Charles Adeniken,M,Nigeria,NGR,Athletics,1,1,1,1,1,1,1,1,1
925,Adenzia Aparecida Ferreira da Silva,F,Brazil,BRA,Volleyball,1,1,1,1,1,1,1,1,1
953,Franck Adisson,M,France-1,FRA,Canoeing,2,2,2,2,2,2,2,2,2
956,"Richard ""Richy""  Adjei",M,Germany-2,GER,Bobsleigh,1,1,1,1,1,1,1,1,1
957,Sammi Adjei,M,Ghana,GHA,Football,1,0,0,1,1,1,1,1,1
962,"Charles ""Chuck"" Adkins",M,United States,USA,Boxing,1,0,0,1,1,1,1,1,1
963,Derrick Ralph Adkins,M,United States,USA,Athletics,1,1,1,1,1,1,1,1,1
964,"Robert Edward ""Bob"" Adlard",M,Great Britain,GBR,Hockey,1,0,0,1,1,1,1,1,1
966,Daniel Adler,M,Brazil,BRA,Sailing,1,1,1,1,1,1,1,1,1
967,Egon Adler,M,Germany,GER,Cycling,1,1,1,1,1,1,1,1,1
968,"Margarete ""Grete"" Adler",F,Austria,AUT,Swimming,1,0,0,1,1,1,1,1,1
973,Gregor Nils Henric Adlercreutz,M,Sweden,SWE,Equestrianism,1,0,0,1,1,1,1,1,1
974,Nils August Domingo Adlercreutz,M,Sweden,SWE,Equestrianism,1,0,0,1,1,1,1,1,1
975,Anna Mrtha Vilhelmina Adlerstrhle (von Oelreich-),F,Sweden,SWE,Tennis,1,0,0,1,1,1,1,1,1
977,Erik William Adlerz,M,Sweden,SWE,Diving,3,0,0,3,3,3,3,3,3
980,"Rebecca ""Becky"" Adlington",F,Great Britain,GBR,Swimming,4,4,4,4,4,4,4,4,4
1000,Dainius Adomaitis,M,Lithuania,LTU,Basketball,1,1,1,1,1,1,1,1,1
1017,Nathan Ghar-Jun Adrian,M,United States,USA,Swimming,8,8,8,8,8,8,8,8,8
1020,Adriana Aparecida dos Santos,F,Brazil,BRA,Basketball,2,2,2,2,2,2,2,2,2
1023,"Adriana ""Adrianinha"" Moiss Pinto",F,Brazil,BRA,Basketball,1,1,1,1,1,1,1,1,1
1025,Attila Adrovicz,M,Hungary,HUN,Canoeing,1,1,1,1,1,1,1,1,1
1046,Klaus Aeffke,M,Germany,GER,Rowing,1,1,1,1,1,1,1,1,1
1071,Kseniya Dmitriyevna Afanasyeva,F,Russia,RUS,Gymnastics,1,1,1,1,1,1,1,1,1
1085,Maksim Sergeyevich Afinogenov,M,Russia,RUS,Ice Hockey,1,1,1,1,1,1,1,1,1
1088,"Olabisi ""Bisi"" Afolabi",F,Nigeria,NGR,Athletics,1,1,1,1,1,1,1,1,1
1094,Felicia Afrsiloaie (-Jitianu),F,Romania,ROU,Rowing,1,1,1,1,1,1,1,1,1
1095,Cecil Sebastian Afrika,M,South Africa,RSA,Rugby Sevens,1,1,1,1,1,1,1,1,1
1104,Muhammad Afzal Manna,M,Pakistan,PAK,Hockey,1,1,1,1,1,1,1,1,1
